readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.036183911561965945, u'xMag': -25.199997, u'azimuth': 1.9595392942428589, u'zforce': 9.8156879999999997, u'yforce': 0.34593064000000001, u'time': 1413158306.267, u'yMag': -12, u'zMag': -44.699997000000003, u'roll': 0.0031076443148776887, u'xforce': -0.0074844359999999997} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.030359298363327979, u'xMag': -24.899994, u'azimuth': 1.9497256994247436, u'zforce': 9.9078959999999991, u'yforce': 0.29937743999999999, u'time': 1413158308.296, u'yMag': -11.099990999999999, u'zMag': -44.699997000000003, u'roll': -7.2937319055199629e-05, u'xforce': -0.029788055000000001} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.030039355903863908, u'xMag': -24, u'azimuth': 1.9807679653167725, u'zforce': 9.8182329999999993, u'yforce': 0.32153140000000002, u'time': 1413158310.3069999, u'yMag': -11.699997, u'zMag': -45, u'roll': -0.0045943378005176786, u'xforce': 0.024848327} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.035286499559879302, u'xMag': -24.899994, u'azimuth': 1.9971628189086914, u'zforce': 9.7984740000000006, u'yforce': 0.30461653999999999, u'time': 1413158312.322, u'yMag': -12.899994, u'zMag': -44.399994, u'roll': 0.00078409806592389937, u'xforce': 0.0067359925999999999} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.04229407012462616, u'xMag': -24.899994, u'azimuth': 1.9476172208786011, u'zforce': 9.7932349999999992, u'yforce': 0.41433838000000001, u'time': 1413158314.358, u'yMag': -11.699997, u'zMag': -43.5, u'roll': -0.0002109294815454632, u'xforce': 0.0079335020000000003} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.018649043887853621, u'xMag': -24.899994, u'azimuth': 1.9955536365509032, u'zforce': 9.9099920000000008, u'yforce': 0.18456620000000001, u'time': 1413158316.368, u'yMag': -12, u'zMag': -44.399994, u'roll': -0.0046877746470272543, u'xforce': 0.046702880000000002} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.026327698677778243, u'xMag': -24.899994, u'azimuth': 1.9722717523574829, u'zforce': 9.7585069999999998, u'yforce': 0.19324814000000001, u'time': 1413158318.4089999, u'yMag': -12, u'zMag': -44.099989999999998, u'roll': 0.0013105772901326417, u'xforce': 0.011825409} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.036471676081418991, u'xMag': -24.899994, u'azimuth': 1.9412959575653077, u'zforce': 9.8311060000000001, u'yforce': 0.37407210000000002, u'time': 1413158320.414, u'yMag': -11.399994, u'zMag': -44.399994, u'roll': 0.0062167457304894928, u'xforce': -0.067509613999999996} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.030713702365756036, u'xMag': -25.199997, u'azimuth': 1.9450232267379761, u'zforce': 9.7718299999999996, u'yforce': 0.27782225999999999, u'time': 1413158322.4260001, u'yMag': -11.399994, u'zMag': -44.099989999999998, u'roll': 0.0087003714405000203, u'xforce': -0.075742489999999996} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.030500368773937227, u'xMag': -25.5, u'azimuth': 1.9447390317916871, u'zforce': 9.8701740000000004, u'yforce': 0.27782225999999999, u'time': 1413158324.473, u'yMag': -11.399994, u'zMag': -45, u'roll': 0.00095563825452700253, u'xforce': 0.00074844359999999999} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.036145690828561783, u'xMag': -25.199997, u'azimuth': 1.9492204427719115, u'zforce': 9.9004119999999993, u'yforce': 0.34622999999999998, u'time': 1413158326.4649999, u'yMag': -11.699997, u'zMag': -45, u'roll': 0.0027596815954893826, u'xforce': -0.051343232000000003} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.029461673274636269, u'xMag': -24.599989999999998, u'azimuth': 1.9854108810424804, u'zforce': 9.9077459999999995, u'yforce': 0.26180555999999999, u'time': 1413158328.5120001, u'yMag': -12.299988000000001, u'zMag': -45, u'roll': 0.0038104925770312548, u'xforce': 0.0071850587} 
